          
  SEQ_ID                   SEQ_LENGTH  TOTAL_SCORE  MEAN_SCORE  
    
  UniRef100_UPI00202736B3  1608        342          0.212687    
  UniRef100_UPI00202736B9  1060        313          0.295283    
  UniRef100_UPI00202737B5  557         -81          -0.145422   
  UniRef100_UPI0020273824  357         753          2.109244    
  UniRef100_UPI0020273A0D  174         73           0.419540    
  UniRef100_UPI0020273A41  693         117          0.168831    
  UniRef100_UPI0020273B55  1058        1543         1.458412    
  UniRef100_UPI0020273BF5  1086        444          0.408840    
  UniRef100_UPI0020273D27  789         341          0.432193    
  UniRef100_UPI0020273D6B  250         325          1.300000    
  UniRef100_UPI0020273E05  300         258          0.860000    
  UniRef100_UPI0020273E2F  344         -321         -0.933140   
  UniRef100_UPI0020273FAC  206         221          1.072816    
  UniRef100_UPI0020274067  527         341          0.647059    
  UniRef100_UPI00202740B9  729         99           0.135802    
  UniRef100_UPI00202741CF  173         134          0.774566    
  UniRef100_UPI002027420F  398         112          0.281407    
  UniRef100_UPI0020274249  610         507          0.831148    
  UniRef100_UPI0020274366  346         253          0.731214    
  UniRef100_UPI002027446C  392         298          0.760204    
  UniRef100_UPI002027456D  282         -405         -1.436170   
  UniRef100_UPI00202745C3  1458        -272         -0.186557   
  UniRef100_UPI002027460D  267         498          1.865169    
  UniRef100_UPI002027466D  344         360          1.046512    
  UniRef100_UPI002027469D  82          16           0.195122    
  UniRef100_UPI00202746FD  930         496          0.533333    
  UniRef100_UPI00202747FE  435         404          0.928736    
  UniRef100_UPI0020274898  105         171          1.628571    
  UniRef100_UPI00202748F2  762         -57          -0.074803   
  UniRef100_UPI0020274977  50          -24          -0.480000   
  UniRef100_UPI0020274AC5  204         136          0.666667    
  UniRef100_UPI0020274C11  1089        257          0.235996    
  UniRef100_UPI0020274CCC  130         129          0.992308    
  UniRef100_UPI0020274CD6  153         102          0.666667    
  UniRef100_UPI0020274DFD  132         110          0.833333    
  UniRef100_UPI0020274E22  401         590          1.471322    
  UniRef100_UPI0020274F14  7006        -4372        -0.624037   
  UniRef100_UPI0020274F44  419         12           0.028640    
  UniRef100_UPI0020274F9F  472         287          0.608051    
  UniRef100_UPI0020274FBD  1111        546          0.491449    
  UniRef100_UPI0020275042  589         253          0.429542    
  UniRef100_UPI00202750CC  534         903          1.691011    
  UniRef100_UPI0020275107  203         -116         -0.571429   
  UniRef100_UPI0020275113  53          -21          -0.396226   
  UniRef100_UPI002027524F  308         -280         -0.909091   
  UniRef100_UPI0020275296  136         113          0.830882    
  UniRef100_UPI00202752D1  262         26           0.099237    
  UniRef100_UPI002027540D  191         148          0.774869    
  UniRef100_UPI0020275425  1220        -269         -0.220492   
  UniRef100_UPI0020275497  252         67           0.265873    
  UniRef100_UPI00202754BD  105         7            0.066667    
  UniRef100_UPI002027556F  545         100          0.183486    
  UniRef100_UPI0020275723  59          -4           -0.067797   
  UniRef100_UPI0020275733  267         219          0.820225    
  UniRef100_UPI002027583F  199         131          0.658291    
  UniRef100_UPI00202758A5  415         317          0.763855    
  UniRef100_UPI00202758A7  404         659          1.631188    
  UniRef100_UPI00202759E3  1633        -26          -0.015922   
  UniRef100_UPI0020275A8C  353         280          0.793201    
  UniRef100_UPI0020275B13  526         308          0.585551    
  UniRef100_UPI0020275B90  236         317          1.343220    
  UniRef100_UPI0020275BEC  166         169          1.018072    
  UniRef100_UPI0020275BF0  764         235          0.307592    
  UniRef100_UPI0020275CF5  354         345          0.974576    
  UniRef100_UPI0020275E29  479         -99          -0.206681   
  UniRef100_UPI0020275EAF  113         -43          -0.380531   
  UniRef100_UPI0020275F41  670         368          0.549254    
  UniRef100_UPI0020275F49  1323        332          0.250945    
  UniRef100_UPI0020275FA7  245         221          0.902041    
  UniRef100_UPI0020276110  480         -290         -0.604167   
  UniRef100_UPI00202761A6  1156        211          0.182526    
  UniRef100_UPI0020276281  494         112          0.226721    
  UniRef100_UPI0020276380  437         131          0.299771    
  UniRef100_UPI002027638E  173         276          1.595376    
  UniRef100_UPI002027644A  904         651          0.720133    
  UniRef100_UPI00202764B4  269         -71          -0.263941   
  UniRef100_UPI002027652C  782         -120         -0.153453   
  UniRef100_UPI002027657C  382         143          0.374346    
  UniRef100_UPI002027659B  297         140          0.471380    
  UniRef100_UPI0020276636  1110        1580         1.423423    
  UniRef100_UPI0020276667  170         296          1.741176    
  UniRef100_UPI00202766A7  341         518          1.519062    
  UniRef100_UPI002027683B  608         180          0.296053    
  UniRef100_UPI0020276859  427         510          1.194379    
  UniRef100_UPI0020276870  243         157          0.646091    
  UniRef100_UPI00202768BD  492         170          0.345528    
  UniRef100_UPI00202768E2  862         -198         -0.229698   
  UniRef100_UPI00202768E4  202         286          1.415842    
  UniRef100_UPI00202768FA  477         246          0.515723    
  UniRef100_UPI00202769DB  1173        2327         1.983802    
  UniRef100_UPI00202769E7  459         117          0.254902    
